"Name","max_train_accuracy","fully_adjacent_last_layer","tree_depth","epoch"
"usual-sweep-1076","0.8805","false","3","656"
"peach-sweep-656","0.88003125","false","3","446"
"balmy-sweep-1080","0.878625","false","3","697"
"rural-sweep-17","0.878375","true","3","433"
"jolly-sweep-837","0.87759375","false","3","699"
"comic-sweep-664","0.90609375","false","3","141"
"unique-sweep-598","0.87140625","false","3","156"
"fresh-sweep-825","0.87965625","false","3","125"
"major-sweep-155","0.8730625","true","3","174"
"worldly-sweep-869","0.9","false","3","203"
"bumbling-sweep-784","0.86396875","true","3","681"
"prime-sweep-267","0.89725","false","3","205"
"playful-sweep-92","0.8616875","true","3","2116"
"sage-sweep-689","0.8615","true","3","2278"
"woven-sweep-615","0.99371875","true","3","189"
"ethereal-sweep-597","0.98809375","false","3","201"
"glowing-sweep-11","0.83940625","false","3","361"
"crisp-sweep-383","0.84096875","true","3","204"
"usual-sweep-132","0.98721875","true","3","201"
"wandering-sweep-451","0.9091875","false","3","134"
"comic-sweep-959","0.8195","true","3","1200"
"blooming-sweep-803","0.96646875","true","3","299"
"gentle-sweep-1106","0.99290625","false","3","223"
"kind-sweep-798","0.87665625","false","3","216"
"earnest-sweep-281","0.7983125","false","3","117"
"devoted-sweep-275","0.82125","true","3","152"
"rural-sweep-435","0.76153125","false","3","675"
"sweet-sweep-888","0.73109375","true","3","377"
"charmed-sweep-25","0.72178125","true","3","1567"
"true-sweep-461","0.72496875","true","3","261"
"worldly-sweep-191","0.74584375","true","3","102"
"usual-sweep-716","0.98353125","true","3","193"
"zesty-sweep-772","0.6996875","true","3","237"
"warm-sweep-581","0.65534375","false","4","690"
"absurd-sweep-1094","0.68078125","true","3","109"
"hearty-sweep-16","0.652625","true","3","766"
"atomic-sweep-596","0.6558125","true","3","385"
"jolly-sweep-729","0.6563125","true","3","160"
"rose-sweep-1185","0.6825625","true","3","138"
"frosty-sweep-865","0.6380625","true","3","109"
"confused-sweep-494","0.63453125","false","4","876"
"dandy-sweep-82","0.63203125","true","3","95"
"fallen-sweep-1041","0.611125","false","4","473"
"trim-sweep-524","0.6099375","false","4","805"
"proud-sweep-709","0.6080625","false","4","686"
"firm-sweep-857","0.66075","true","3","177"
"lyric-sweep-989","0.9860625","true","3","355"
"tough-sweep-368","0.6139375","true","3","128"
"laced-sweep-504","0.5731875","false","4","522"
"playful-sweep-420","0.5899375","true","3","149"
"smooth-sweep-387","0.56340625","false","4","512"
"smart-sweep-768","0.56071875","false","4","644"
"apricot-sweep-107","0.60125","true","3","118"
"giddy-sweep-903","0.5776875","true","3","156"
"radiant-sweep-351","0.5311875","false","4","746"
"sweepy-sweep-374","0.55440625","true","3","113"
"young-sweep-308","0.5314375","true","3","109"
"elated-sweep-386","0.54934375","true","3","114"
"ethereal-sweep-693","0.52040625","false","4","869"
"jolly-sweep-537","0.519625","false","4","421"
"vital-sweep-652","0.5178125","false","4","744"
"vague-sweep-412","0.51353125","false","4","685"
"jumping-sweep-688","0.59959375","true","3","164"
"cool-sweep-437","0.50825","false","4","521"
"divine-sweep-643","0.5068125","false","4","642"
"morning-sweep-131","0.4995625","false","4","508"
"olive-sweep-307","0.6506875","true","3","159"
"chocolate-sweep-594","0.495375","false","4","1064"
"balmy-sweep-539","0.4901875","false","4","685"
"lunar-sweep-718","0.48671875","false","4","674"
"pretty-sweep-342","0.481375","false","4","571"
"sleek-sweep-264","0.47675","false","4","648"
"pious-sweep-363","0.47634375","false","4","692"
"wobbly-sweep-1028","0.47384375","false","4","492"
"generous-sweep-225","0.47021875","false","4","570"
"decent-sweep-603","0.4696875","true","3","291"
"winter-sweep-1084","0.48228125","true","3","142"
"comfy-sweep-144","0.4578125","false","4","859"
"logical-sweep-951","0.4556875","false","4","437"
"graceful-sweep-28","0.45340625","false","4","677"
"zesty-sweep-260","0.452625","false","4","701"
"golden-sweep-251","0.4465","false","4","645"
"silvery-sweep-624","0.44375","false","4","599"
"robust-sweep-254","0.44453125","false","4","1068"
"misty-sweep-358","0.43721875","false","4","871"
"ethereal-sweep-177","0.4348125","false","4","564"
"major-sweep-521","0.43153125","false","4","475"
"splendid-sweep-405","0.4316875","false","4","588"
"azure-sweep-310","0.424625","false","4","552"
"radiant-sweep-86","0.4230625","false","4","557"
"warm-sweep-823","0.4171875","false","4","856"
"peach-sweep-392","0.416625","false","4","574"
"revived-sweep-163","0.4128125","false","4","629"
"elated-sweep-646","0.41075","false","4","335"
"bumbling-sweep-304","0.40990625","false","4","561"
"fragrant-sweep-918","0.402625","false","4","433"
"electric-sweep-893","0.399125","false","4","483"
"feasible-sweep-286","0.39803125","false","4","432"
"valiant-sweep-518","0.3969375","false","4","773"
"lively-sweep-907","0.38496875","false","4","702"
"lemon-sweep-584","0.38421875","false","4","459"
"super-sweep-877","0.3790625","false","4","498"
"rural-sweep-882","0.37675","false","4","565"
"bumbling-sweep-108","0.36321875","false","4","491"
"polished-sweep-339","0.3631875","false","4","793"
"fresh-sweep-620","0.3579375","false","4","611"
"hearty-sweep-707","0.35615625","false","4","443"
"effortless-sweep-834","0.352375","false","4","357"
"vivid-sweep-282","0.34790625","false","4","599"
"lemon-sweep-749","0.34196875","false","4","386"
"fragrant-sweep-331","0.3341875","false","4","505"
"fresh-sweep-14","0.33215625","false","4","603"
"devoted-sweep-724","0.3269375","false","4","576"
"noble-sweep-365","0.32175","false","4","588"
"fine-sweep-975","0.31653125","false","4","505"
"bright-sweep-833","0.31471875","false","4","647"
"brisk-sweep-9","0.313","false","4","468"
"neat-sweep-421","0.3124375","false","4","572"
"chocolate-sweep-957","0.3095","false","4","487"
"eager-sweep-1048","0.30278125","false","4","409"
